                  id; iter;  gen;first; last;vari1;vari2
                Cris;    1;   21;-10418;-32214; 1,00;104,58
                Cris;    1;   41;-1554;-19519; 0,99;103,11
                Cris;    1;   61; -841;-12979; 1,00;101,80
                Cris;    1;   81; -405;-8199; 0,99;100,07
                Cris;    1;  101; 1290;-5058; 0,99;98,71
                Cris;    1;  121; 2200;-2854; 0,96;96,73
                Cris;    1;  141; 2360;-1073; 0,94;95,93
                Cris;    1;  161; 2360; -185; 0,90;95,03
                Cris;    1;  181; 2360;  545; 0,80;94,93
                Cris;    1;  201; 2382; 1086; 0,62;93,81
                Cris;    1;  221; 2920; 1560; 0,38;91,75
                Cris;    1;  241; 3350; 2060; 0,26;91,27
                Cris;    1;  261; 5770; 2895; 0,26;90,51
                Cris;    1;  281;10220; 3682; 0,47;88,26
                Cris;    1;  301;10220; 4348; 0,65;88,50
                Cris;    1;  321;10220; 5880; 0,24;81,46
                Cris;    1;  341;10220;10220; 0,01;75,72
                Cris;    1;  361;10220;10220; 0,01;77,10
                Cris;    1;  381;10220;10220; 0,01;75,93
                Cris;    1;  401;10220;10220; 0,01;74,71
                Cris;    1;  421;10577;10220; 0,01;78,10
                Cris;    1;  441;10577;10220; 0,02;78,81
                Cris;    1;  461;10577;10220; 0,03;75,76
                Cris;    1;  481;10577;10220; 0,03;76,65
                Cris;    1;  501;10577;10220; 0,04;78,56
                Cris;    1;  521;10855;10220; 0,07;78,62
                Cris;    1;  541;10855;10220; 0,15;79,81
                Cris;    1;  561;11207;10220; 0,37;77,05
                Cris;    1;  581;11207;10530; 0,39;62,29
                Cris;    1;  601;11774;10750; 0,53;65,73
                Cris;    1;  621;13120;11010; 0,62;71,77
                Cris;    1;  641;16374;11440; 0,72;74,30
                Cris;    1;  661;16374;12121; 0,74;71,92
                Cris;    1;  681;16374;12680; 0,83;71,97
                Cris;    1;  701;17087;13498; 0,91;71,90
                Cris;    1;  721;19911;14785; 0,96;70,50
                Cris;    1;  741;23983;16190; 0,94;69,19
                Cris;    1;  761;31193;18475; 0,97;71,83
                Cris;    1;  781;35314;22856; 0,99;70,15
                Cris;    1;  801;40424;27311; 0,99;66,94
                Cris;    1;  821;46425;31085; 0,99;65,73
                Cris;    1;  841;47032;36455; 0,99;62,38
                Cris;    1;  861;52778;40560; 0,97;62,14
                Cris;    1;  881;57900;44689; 0,99;60,59
                Cris;    1;  901;60295;48283; 0,97;58,79
                Cris;    1;  921;60295;50907; 0,96;57,32
                Cris;    1;  941;61890;52737; 0,99;55,46
                Cris;    1;  961;62975;55049; 0,99;56,11
                Cris;    1;  981;66512;57647; 0,98;55,72
                Cris;    1; 1001;66813;59885; 0,98;54,53
                Cris;    1; 1021;71703;61882; 0,97;54,46
                Cris;    1; 1041;73770;63283; 0,97;53,78
                Cris;    1; 1061;73770;64797; 0,97;54,08
                Cris;    1; 1081;73770;66398; 0,96;53,35
                Cris;    1; 1101;73990;67534; 0,96;53,22
                Cris;    1; 1121;73990;68482; 0,95;52,51
                Cris;    1; 1141;74160;69503; 0,96;51,86
                Cris;    1; 1161;74160;70591; 0,96;47,57
                Cris;    1; 1181;75232;71662; 0,93;46,60
                Cris;    1; 1201;75374;72633; 0,91;46,22
                Cris;    1; 1221;75626;73228; 0,89;47,68
                Cris;    1; 1241;76621;73649; 0,90;47,96
                Cris;    1; 1261;79187;74050; 0,89;49,78
                Cris;    1; 1281;79187;74505; 0,86;48,64
                Cris;    1; 1301;79935;74863; 0,91;47,21
                Cris;    1; 1321;79935;75414; 0,91;49,77
                Cris;    1; 1341;81900;76210; 0,91;49,36
                Cris;    1; 1361;81900;77191; 0,93;42,70
                Cris;    1; 1381;81900;77957; 0,97;46,23
                Cris;    1; 1401;82120;78742; 0,93;44,65
                Cris;    1; 1421;82385;79696; 0,89;43,43
                Cris;    1; 1441;83770;80485; 0,80;41,56
                Cris;    1; 1461;84285;81200; 0,80;43,11
                Cris;    1; 1481;89884;82005; 0,86;41,97
                Cris;    1; 1501;90690;83738; 0,87;43,02
                Cris;    1; 1521;92420;85760; 0,89;36,18
                Cris;    1; 1541;93130;88055; 0,91;31,13
                Cris;    1; 1561;93836;89625; 0,87;30,14
                Cris;    1; 1581;95335;90832; 0,93;30,80
                Cris;    1; 1601;95335;92251; 0,88;32,44
                Cris;    1; 1621;95440;93185; 0,87;33,90
                Cris;    1; 1641;95805;93868; 0,80;33,64
                Cris;    1; 1661;95980;94330; 0,72;34,71
                Cris;    1; 1681;96360;94655; 0,71;32,83
                Cris;    1; 1701;96360;94895; 0,68;35,26
                Cris;    1; 1721;96360;95085; 0,62;33,83
