                  id;            S04_G_10;;;;;
;;;;;;
Mittelwert von first;Spaltenbeschriftungen;;;;;
Zeilenbeschriftungen;1;2;3;4;5;Gesamtergebnis
101;34782;68195;5055;64070;7965;36013,4
201;84525;86320;5055;65520;7965;49877
301;84525;86320;5055;65520;7965;49877
401;84525;86320;5055;65520;7965;49877
501;84525;86320;5055;65520;7965;49877
601;84525;86320;5055;65520;7965;49877
701;84525;86320;5055;65520;7965;49877
801;84525;86320;5055;65520;7965;49877
901;84525;86320;5055;65520;7965;49877
1001;84525;86320;5055;65520;7965;49877
1101;84525;86320;5055;65520;7965;49877
1201;84525;86320;5055;65520;7965;49877
1301;84525;86320;5055;65520;7965;49877
1401;84525;86320;5055;65520;7965;49877
1501;84525;86320;5055;65520;7965;49877
1601;84525;86320;5055;65520;7965;49877
1701;84525;86320;5055;65520;7965;49877
1801;84525;86320;5055;65520;7965;49877
1901;84525;86320;5055;65520;7965;49877
2001;84525;86320;5055;65520;7965;49877
2101;84525;86320;5055;65520;7965;49877
2201;84525;86320;5055;65520;7965;49877
2301;84525;86320;5055;65520;7965;49877
2401;84525;86320;5055;65520;7965;49877
2501;84525;86320;5055;65520;7965;49877
2601;84525;86320;5055;65520;7965;49877
2701;84525;86320;5055;65520;7965;49877
2801;84525;86320;5055;65520;7965;49877
2901;84525;86320;5055;65520;7965;49877
3001;84525;86320;5055;65520;7965;49877
3101;84525;86320;5055;65520;7965;49877
3201;84525;86320;5055;65520;7965;49877
3301;84525;86320;5055;65520;7965;49877
3401;84525;86320;5055;65520;7965;49877
3501;84525;86320;5055;65520;7965;49877
3601;84525;86320;5055;65520;7965;49877
3701;84525;86320;5055;65520;7965;49877
3801;84525;86320;5055;65520;7965;49877
3901;84525;86320;5055;65520;7965;49877
4001;84525;86320;5055;65520;7965;49877
Gesamtergebnis;83281,425;85866,875;5055;65483,75;7965;49530,41
